"dzongkhag_id","dzongkhag_name"
"1","Bumthang"
"2","Chhukha"
"3","Dagana"
"4","Gasa"
"5","Haa"
"6","Lhuentse"
"7","Mongar"
"8","Paro"
"9","Pema Gathsel"
"10","Punakha"
"11","Samdrup Jongkhar"
"12","Samtse"
"13","Sarpang"
"14","Thimphu"
"15","Trashi Yangtse"
"16","Trashigang"
"17","Trongsa"
"18","Tsirang"
"19","Wangdue Phodrang"
"20","Zhemgang"
